Urls,counts
https://www.theguardian.com/commentisfree/2019/may/24/theresa-may-worst-prime-minister-brexit-windrush?CMP=Share_AndroidApp_Tweet,777
https://twitter.com/george_cris/status/1132703772453613568,419
https://twitter.com/St_Theodorakis/status/1132538927489986560,177
https://www.thepressproject.gr/article/141488/LIVE-I-Ellada-se-triples-kalpes,150
https://twitter.com/adplacitum/status/1131248364039954432,127
https://twitter.com/nikospappas16/status/1130368531290365952,126
https://www.youtube.com/watch?v=aLm78y6bzI8,126
https://youtu.be/1j0M9__mvEs,119
https://twitter.com/MitsoSakis/status/1131122700469059594,118
https://twitter.com/skaigr/status/1132753701893038081,105
https://www.theguardian.com/world/2019/may/22/yanis-varoufakis-green-new-deal-can-unite-europes-progressives?CMP=Share_AndroidApp_Tweet,104
https://twitter.com/opanagiotidou/status/1132742457618325506,95
https://twitter.com/NIKSOTIROPOYLOS/status/1133076948924719104,91
http://fortune.com/2019/05/23/eu-election-varoufakis-interview/,91
"http://Liberal.gr,https://www.liberal.gr/apopsi/ad-georgiadis-o-kur-mitsotakis-pire-tin-nd-apo-to--7-kai-tin-efere-sto-95/253423?fbclid=IwAR3swx43MdjX7mzP0wpQAqSeeGG1o0V9ytNLPTqC2rBhy3xo63fm5YE_HrM#.XOz6c0ijAZZ.twitter",91
https://www.youtube.com/watch?v=6iAu859PRNA,85
https://www.protothema.gr/politics/article/894798/manitakis-katadolieusi-tou-sudagmatos-endehomenes-allages-sti-dikaiosuni-pro-ton-eklogon/,82
https://twitter.com/olgagerovasili/status/1132005690632019968?s=21,82
https://www.protothema.gr/politics/article/894033/georgiadis-enas-nounehis-prothupourgos-tha-pigaine-simera-kiolas-se-ekloges/,78
https://www.news247.gr/ekloges/ekloges-2019.7095841.html,77
https://www.protothema.gr/blogs/grigoris-tziobaras/article/895175/den-psihalise-kurie-tsipra-tin-kuriaki-sas-eftusan/,76
http://Liberal.gr,76
https://www.cjr.org/watchdog/greece-media-campaign.php,75
https://twitter.com/george_cris/status/1131831154531864576,72
https://youtu.be/Me4Vfbm8saQ,69
https://twitter.com/omadaalithias/status/1133077105120600065,65
http://www.xryshaygh.com/enimerosi/view/eskase-h-bomba-pernaei-aneta-ston-deutero-guro-o-hlias-kasidiarhs-stis-teli#ixzz5oYVShpCI,63
https://twitter.com/documentonews/status/1132930393718624257,61
https://piraeuspress.gr/piraeus/dimos-peiraia/329415/kaminia-pirea-fygadeftike-i-dourou-orgi-tou-kosmou-gia-tin-aperchomeni-periferiarchi/,60
https://twitter.com/st_theodorakis/status/1132538927489986560,58
https://webtv.ert.gr/ert1-live/,58
https://twitter.com/to_vatraxi/status/1134072881162391559,55
https://youtu.be/nx-rMqFy9YU,55
https://twitter.com/News247gr/status/1132560677984526336,54
https://www.reuters.com/article/us-eu-election-germany-idUSKCN1NU0QA,53
https://twitter.com/BevansFury/status/1133346589882441729,52
https://www.efsyn.gr/politiki/197073_i-mahi-ton-eyroeklogon,50
http://www.xryshaygh.com/enimerosi/view/to-programma-tou-hlia-kasidiarh-gia-thn-athhna-ston-ant1-binteo,50
http://Reader.gr,49
https://diem25.org/who-to-trust-more-greens-or-diem25-on-climate/,49
http://Dikastiko.gr,49
https://twitter.com/maraki_r_13/status/1132759078277722112,48
https://twitter.com/EOrganwsi/status/1132688934914482176,48
https://left.gr/news/ki-i-politiki-grammateia-toy-syriza-den-eihe-arhisei-akoma,47
https://twitter.com/george_cris/status/1132558663305113600,47
https://youtu.be/y7zEfHbQaKg,47
http://Protagon.gr,47
https://www.facebook.com/renaperifereia/,47
http://newpost.gr/politiki/5ce57b3b2a52293e4bd371a4/kostas-karamanlis-eimaste-oloi-edo-systrateymenoi-sto-pleyro-toy-kyriakoy-mitsotaki,47
https://www.yanisvaroufakis.eu/2019/05/24/on-the-campaign-trail-with-yanis-varoufakis-bbc-newsnight/,46
https://twitter.com/libo_libo/status/1132754826721406977,45
https://twitter.com/ToPotami/status/1130843927383117824,45
https://www.wsj.com/articles/when-turkey-destroyed-its-christians-11558109896?redirect=amp#click=https://t.co/3FfABnqC5K,44
"http://Liberal.gr,https://www.liberal.gr/apopsi/osa-sou-kanei-i-kefali-sou-den-sou-ta-kanei-o-kosmos-olos/253740#.XO-HJWSJkuk.twitter",44
http://iefimerida.gr,43
https://www.capital.gr/oikonomia/3362562/reuters-exase-o-tsipras-kerdise-i-oikonomia,43
https://youtu.be/0YW3oHLPIw4,43
https://youtu.be/zP3mmgIDiSE,43
https://twitter.com/Imamofpeace/status/1134135777175199745,42
https://www.youtube.com/watch?v=2KADQmQSHP4,42
https://www.zougla.gr/politiki/article/ntermpi---fotia-tin-kiriaki,42
http://www.xryshaygh.com/enimerosi/view/kai-to-kolwnaki-sthrizei-ellhnikh-augh-gia-thn-athhna-thermh-upodochh-tou-h,42
https://twitter.com/syriza_gr/status/1131481564980891648,41
http://bit.ly/2wgDj1e,41
https://www.pscp.tv/w/b8GHGTFQbUtxZ1BNR1ZhRW98MWt2S3BPVlF6TWd4RX6yxlxeb2qsvXWfm_b8LNH8VdviaQ5GNvoVAo4cjxBx,41
"http://Liberal.gr,https://www.liberal.gr/apopsi/enas-thliberos-tsipras-se-mia-sunaxi-aboulon/253485",40
https://twitter.com/prezatv/status/1130941462470942720,40
https://www.protothema.gr/greece/article/893303/dimoskopisi/,39
https://twitter.com/mitsosakis/status/1131122700469059594,39
http://www.xryshaygh.com/enimerosi/view/n.-g.-michaloliakos-oti-den-mas-katastrefei-mas-kanei-perissotero-dunatous,39
https://twitter.com/etyposgr/status/1133311291186135040,38
https://www.athensvoice.gr/politics/547654_komma-tis-palias-elladas,37
"http://tomanifesto.gr,https://tomanifesto.gr/eyroekloges-2019-proto-komma-stis-fylakes-korydalloy-o-syriza/",37
https://twitter.com/st_theodorakis/status/1132235545550233600,36
"http://tomanifesto.gr,https://tomanifesto.gr/mayrisan-sta-sfakia-ton-polaki/",36
https://www.protothema.gr/politics/article/895731/alert-den-tha-einai-upopsifios-stis-ekloges-o-pitsiorlas-apohorei-apo-tin-politiki/,35
